City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,edinburgh of the seven seas,-37.0676,-12.3116,13.83,90,100,9.49,SH,1702337490
82,namibe,-15.1961,12.1522,21.78,73,64,2.52,AO,1702337491
83,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,1702337491
84,antsiranana,-12.2787,49.2917,25.33,83,19,4.6,MG,1702337491
85,weno,7.4515,151.8468,26.97,94,100,2.06,FM,1702337492
86,barcelos,41.5388,-8.6151,17.18,94,100,4.16,PT,1702337492
87,sakakah,29.9697,40.2064,17.76,44,100,3.59,SA,1702337492
88,vorgashor,67.5833,63.95,-17.26,90,100,6.64,RU,1702337493
89,aasiaat,68.7098,-52.8699,-0.85,79,100,5.3,GL,1702337493
90,broken hill,-31.95,141.4333,28.31,35,38,0.86,AU,1702337493
91,gufeng,26.9083,118.9819,14.96,98,99,0.81,CN,1702337494
92,port lincoln,-34.7333,135.8667,20.23,52,62,6.16,AU,1702337494
93,mount isa,-20.7333,139.5,29.87,32,1,5.14,AU,1702337494
94,laascaanood,8.4774,47.3597,20.53,69,53,3.59,SO,1702337495
95,avarua,-21.2078,-159.775,26.03,83,75,10.8,CK,1702337495
96,majene,-3.5403,118.9707,28.54,71,91,1.4,ID,1702337496
97,nago,26.5881,127.9761,22.47,87,97,6.02,JP,1702337496
98,tulum,20.2167,-87.4667,23.24,74,99,3.86,MX,1702337497
99,lompoc,34.6391,-120.4579,22.23,68,0,7.2,US,1702337497
100,fukuecho,32.6881,128.8419,15.2,94,75,4.63,JP,1702337497
101,bulgan,48.8125,103.5347,-23.6,97,89,0.18,MN,1702337498
102,dalbandin,28.8947,64.4101,11.65,31,89,2.13,PK,1702337498
103,faranah,10.0404,-10.7434,19.74,28,42,0.69,GN,1702337498
104,touros,-5.1989,-35.4608,26.58,76,0,6.63,BR,1702337415
105,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,87,40,7.6,RU,1702337499
106,puerto baquerizo moreno,-0.9,-89.6,25.55,83,75,5.14,EC,1702337415
107,saint-joseph,-21.3667,55.6167,23.21,81,37,4.93,RE,1702337321
108,colonia,50.9333,6.95,9.42,82,100,3.09,DE,1702337282
109,jamestown,42.097,-79.2353,0.77,75,100,3.6,US,1702337372
110,port mathurin,-19.6833,63.4167,25.85,76,78,2.1,MU,1702337501
111,polyarnyy,69.1989,33.4478,-13.79,93,93,6.0,RU,1702337501
112,douentza,14.9951,-2.9517,21.39,18,0,2.09,ML,1702337502
113,beypazari,40.1675,31.9211,8.53,79,100,0.62,TR,1702337502
114,okhotsk,59.3833,143.3,-9.81,91,100,1.65,RU,1702337502
115,pandan,14.0453,124.1694,27.43,82,64,3.84,PH,1702337503
116,sola,-13.8833,167.55,26.42,62,99,6.93,VU,1702337503
117,santo antonio do ica,-3.1022,-67.9397,24.47,97,95,0.91,BR,1702337503
118,bethel,41.3712,-73.414,4.55,64,100,7.2,US,1702337503
119,ashkasham,36.6833,71.5333,-7.13,91,100,1.49,AF,1702337504
120,alice springs,-23.7,133.8833,19.75,42,0,3.6,AU,1702337213
121,yaren,-0.5472,166.916,29.14,74,19,5.01,NR,1702337504
122,dudinka,69.4058,86.1778,-24.62,98,100,6.26,RU,1702337505
123,beau vallon,-20.4189,57.6953,25.13,78,75,1.54,MU,1702337505
124,al miqdadiyah,33.9786,44.9369,18.56,25,100,0.76,IQ,1702337505
125,punta arenas,-53.15,-70.9167,12.06,47,75,6.69,CL,1702337424
126,minas de marcona,-15.2119,-75.1103,16.81,79,13,4.94,PE,1702337506
127,puerto ayora,-0.7393,-90.3518,24.53,82,57,3.08,EC,1702337506
128,peace river,56.2501,-117.286,-7.83,79,75,2.06,CA,1702337507
129,kalaleh,37.3807,55.4916,10.38,80,21,1.14,IR,1702337507
130,qarqin,37.4185,66.0436,6.66,46,71,6.21,AF,1702337342
131,le port,-20.9373,55.2919,24.0,96,40,1.24,RE,1702337508
132,badger,64.8,-147.5333,-6.07,82,100,4.63,US,1702337509
133,pacific grove,36.6177,-121.9166,17.23,71,0,4.47,US,1702337509
134,new plymouth,-39.0667,174.0833,14.62,77,64,9.62,NZ,1702337509
135,avanigadda,16.0215,80.9181,21.64,87,60,2.21,IN,1702337510
136,georgetown,5.4112,100.3354,26.08,94,20,1.03,MY,1702337259
137,whitehorse,60.7161,-135.0538,1.43,69,75,7.2,CA,1702337510
138,olinda,-8.0089,-34.8553,27.85,69,40,3.6,BR,1702337307
139,broome,42.2506,-75.833,0.95,87,100,4.63,US,1702337511
140,geraldton,-28.7667,114.6,28.23,20,0,5.14,AU,1702337512
141,constantia,44.1833,28.65,1.5,82,33,3.77,RO,1702337512
142,martuk,50.7475,56.5056,-24.44,80,3,6.04,KZ,1702337512
143,qui nhon,13.7667,109.2333,23.35,86,35,2.24,VN,1702337513
144,fort st. john,56.2499,-120.8529,-1.06,55,40,8.23,CA,1702337513
145,willemstad,12.1084,-68.9335,26.95,83,20,4.12,CW,1702337250
146,kenai,60.5544,-151.2583,0.05,86,75,5.66,US,1702337514
147,dalandzadgad,43.5708,104.425,-6.8,55,49,0.74,MN,1702337515
148,celica,-4.1167,-79.95,20.0,78,88,1.34,EC,1702337515
149,addanki,15.8167,79.9833,19.72,90,60,1.64,IN,1702337515
150,nova vicosa,-17.8919,-39.3719,25.7,82,84,7.67,BR,1702337516
151,suhbaatar,50.2314,106.2078,-28.45,100,91,0.94,MN,1702337516
152,guerrero negro,27.9769,-114.0611,19.89,40,79,4.33,MX,1702337516
153,paracatu,-17.2222,-46.8747,25.27,57,98,1.89,BR,1702337517
154,kampong speu,11.5,104.3333,23.82,86,53,0.29,KH,1702337517
155,san patricio,28.017,-97.5169,18.05,50,100,3.39,US,1702337517
156,burang,30.25,81.1667,-15.19,62,1,1.55,CN,1702337518
157,mstera,56.3789,41.92,-7.46,93,100,6.42,RU,1702337518
158,fortaleza,-3.7227,-38.5247,28.93,77,20,4.12,BR,1702337518
159,mezhdurechenskiy,59.6,65.9333,-29.39,93,50,2.52,RU,1702337519
160,kudahuvadhoo,2.6708,72.8944,28.07,73,35,2.5,MV,1702337519
161,ribeira grande,38.5167,-28.7,13.76,81,5,1.79,PT,1702337520
162,saipan,15.1355,145.701,29.39,74,40,5.66,MP,1702337520
163,port elizabeth,-33.918,25.5701,17.4,92,20,6.17,ZA,1702337400
164,bom jardim,-7.7958,-35.5872,22.83,84,24,4.34,BR,1702337521
165,arkalyk,50.2486,66.9114,-26.19,87,7,6.63,KZ,1702337521
166,hotan,37.0997,79.9269,0.94,33,100,2.39,CN,1702337522
167,shingu,33.7333,135.9833,18.76,94,96,2.48,JP,1702337522
168,naze,28.3667,129.4833,19.51,84,96,5.69,JP,1702337523
169,richards bay,-28.783,32.0377,19.62,94,87,1.16,ZA,1702337523
170,east london,-33.0153,27.9116,19.7,84,62,2.0,ZA,1702337524
171,san julian,21.0167,-102.1667,9.86,84,100,3.9,MX,1702337524
172,isokyro,63.0117,22.3333,-8.09,96,100,1.73,FI,1702337524
173,lagunillas,10.1301,-71.2595,28.26,74,16,3.17,VE,1702337525
174,plesetsk,62.708,40.2916,-10.3,94,100,3.85,RU,1702337525
175,khulm,36.6974,67.6983,9.91,71,66,4.2,AF,1702337525
176,flying fish cove,-10.4217,105.6791,24.82,83,68,3.09,CX,1702337526
177,biltine,14.5333,20.9167,18.13,26,37,4.85,TD,1702337526
178,sagua de tanamo,20.5819,-75.2414,24.52,91,45,1.18,CU,1702337527
179,olonets,60.9847,32.9698,-6.39,94,100,3.51,RU,1702337527
180,barra de santo antonio,-9.4047,-35.5072,24.6,78,2,5.77,BR,1702337527
181,akureyri,65.6835,-18.0878,-9.04,92,20,0.0,IS,1702337528
182,shumikha,55.2261,63.2961,-31.3,98,8,1.56,RU,1702337528
183,yeppoon,-23.1333,150.7333,26.88,70,90,9.26,AU,1702337529
184,miles city,46.4083,-105.8406,-0.46,86,0,3.6,US,1702337529
185,lamu,-2.2717,40.902,27.12,85,95,3.06,KE,1702337529
186,queenstown,-31.8976,26.8753,14.68,81,34,1.37,ZA,1702337530
187,nadi,-17.8,177.4167,29.0,51,40,5.66,FJ,1702337530
188,castillos,-34.1667,-53.8333,18.04,92,83,4.59,UY,1702337530
189,olonkinbyen,70.9221,-8.7187,-0.09,97,100,3.16,SJ,1702337531
190,nar'yan-mar,67.6713,53.087,-14.03,91,100,7.89,RU,1702337531
191,vadso,70.0744,29.7487,-9.91,79,20,5.14,NO,1702337531
192,wailua homesteads,22.0669,-159.378,28.24,82,20,4.12,US,1702337532
193,hawaiian paradise park,19.5933,-154.9731,26.13,88,100,2.06,US,1702337532
194,thetford-mines,46.0937,-71.3054,-2.94,93,98,4.81,CA,1702337533
195,paracuru,-3.41,-39.0306,27.84,77,36,5.43,BR,1702337341
196,tadine,-21.55,167.8833,25.13,61,94,6.53,NC,1702337534
197,bairnsdale,-37.8333,147.6167,21.14,91,94,0.89,AU,1702337534
198,inhambane,-23.865,35.3833,25.75,95,100,4.82,MZ,1702337534
199,babai,22.7,77.9333,14.96,70,81,1.11,IN,1702337535
200,crieff,56.3727,-3.8389,6.75,96,100,3.34,GB,1702337535
201,gallup,35.5281,-108.7426,10.42,29,0,0.0,US,1702337536
202,huanan,46.2167,130.5167,-24.2,94,100,0.77,CN,1702337536
203,kavaratti,10.5669,72.642,27.95,76,93,2.76,IN,1702337536
204,ankazoabo,-22.2833,44.5167,25.14,60,29,1.83,MG,1702337537
205,nagqu,31.5,92.0,-14.75,48,91,1.62,CN,1702337537
206,kharp,66.8014,65.8081,-22.53,96,100,1.69,RU,1702337538
207,tolanaro,-25.0319,46.9987,25.04,94,20,3.09,MG,1702337538
208,sinop,41.7711,34.8709,7.05,83,99,1.05,TR,1702337539
209,eaton rapids,42.5092,-84.6558,0.1,69,100,3.09,US,1702337539
210,carnarvon,-24.8667,113.6333,26.17,31,0,2.88,AU,1702337296
211,nizhneangarsk,55.7833,109.55,-24.44,80,65,2.68,RU,1702337540
212,lau,9.2167,11.2833,21.4,24,10,2.29,NG,1702337540
213,lensk,60.7253,114.9278,-28.81,98,99,1.88,RU,1702337541
214,axim,4.8699,-2.2405,26.6,83,12,1.63,GH,1702337541
215,undurkhaan,47.3194,110.6556,-28.3,99,94,0.5,MN,1702337542
216,borkum,53.5809,6.6915,7.75,90,77,0.84,DE,1702337542
217,labrador city,52.9463,-66.9114,-6.05,93,100,2.06,CA,1702337542
218,qarqaraly,49.4058,75.4742,-26.7,95,100,4.6,KZ,1702337543
219,island harbour,50.724,-1.2758,12.48,93,41,3.13,GB,1702337543
220,bodo,67.28,14.405,-4.57,76,11,10.29,NO,1702337501
